Gene_name,String_protein_id
AMMECR1,9606.ENSP00000262844
AMMECR1L,9606.ENSP00000272647
AMN,9606.ENSP00000299155
AMN1,9606.ENSP00000281471
AMOT,9606.ENSP00000361027
AMOTL1,9606.ENSP00000387739
AMOTL2,9606.ENSP00000424765
AMPD1,9606.ENSP00000430075
AMPD2,9606.ENSP00000499465
AMPD3,9606.ENSP00000379802
AMPH,9606.ENSP00000348602
AMT,9606.ENSP00000273588
AMTN,9606.ENSP00000341013
AMY1A,9606.ENSP00000359100
AMY1B,9606.ENSP00000330484
AMY1C,9606.ENSP00000359096
AMY2A,9606.ENSP00000481450
AMY2B,9606.ENSP00000354610
AMZ1,9606.ENSP00000308149
AMZ2,9606.ENSP00000464635
ANAPC1,9606.ENSP00000339109
ANAPC10,9606.ENSP00000478501
ANAPC11,9606.ENSP00000349957
ANAPC13,9606.ENSP00000421842
ANAPC15,9606.ENSP00000437360
ANAPC16,9606.ENSP00000477760
ANAPC2,9606.ENSP00000314004
ANAPC4,9606.ENSP00000426654
ANAPC5,9606.ENSP00000261819
ANAPC7,9606.ENSP00000394394
ANG,9606.ENSP00000336762
ANGEL1,9606.ENSP00000251089
ANGEL2,9606.ENSP00000355929
ANGPT1,9606.ENSP00000428340
ANGPT2,9606.ENSP00000314897
ANGPT4,9606.ENSP00000371347
ANGPTL1,9606.ENSP00000234816
ANGPTL2,9606.ENSP00000362524
ANGPTL3,9606.ENSP00000360170
ANGPTL4,9606.ENSP00000301455
ANGPTL5,9606.ENSP00000335255
ANGPTL6,9606.ENSP00000253109
ANGPTL7,9606.ENSP00000366015
ANGPTL8,9606.ENSP00000479969
ANHX,9606.ENSP00000409950
ANK1,9606.ENSP00000265709
ANK2,9606.ENSP00000349588
ANK3,9606.ENSP00000280772
ANKAR,9606.ENSP00000427882
ANKDD1A,9606.ENSP00000325895
ANKDD1B,9606.ENSP00000471417
ANKEF1,9606.ENSP00000367644
ANKFN1,9606.ENSP00000321627
ANKFY1,9606.ENSP00000459943
ANKH,9606.ENSP00000284268
ANKHD1,9606.ENSP00000354085
ANKIB1,9606.ENSP00000265742
ANKK1,9606.ENSP00000306678
ANKLE1,9606.ENSP00000377971
ANKLE2,9606.ENSP00000350686
ANKMY1,9606.ENSP00000385887
ANKMY2,9606.ENSP00000303570
ANKRA2,9606.ENSP00000296785
ANKRD1,9606.ENSP00000360762
ANKRD10,9606.ENSP00000267339
ANKRD11,9606.ENSP00000301030
ANKRD12,9606.ENSP00000262126
ANKRD13A,9606.ENSP00000261739
ANKRD13B,9606.ENSP00000378328
ANKRD13C,9606.ENSP00000359982
ANKRD13D,9606.ENSP00000427130
ANKRD16,9606.ENSP00000369436
ANKRD17,9606.ENSP00000351416
ANKRD18A,9606.ENSP00000382610
ANKRD18B,9606.ENSP00000290943
ANKRD2,9606.ENSP00000306163
ANKRD20A1,9606.ENSP00000477695
ANKRD20A2,9606.ENSP00000366826
ANKRD20A3,9606.ENSP00000482325
ANKRD20A4,9606.ENSP00000349891
ANKRD22,9606.ENSP00000360998
ANKRD23,9606.ENSP00000321679
ANKRD24,9606.ENSP00000471252
ANKRD26,9606.ENSP00000365255
ANKRD27,9606.ENSP00000304292
ANKRD28,9606.ENSP00000382379
ANKRD29,9606.ENSP00000468354
ANKRD30A,9606.ENSP00000354432
ANKRD30B,9606.ENSP00000499676
ANKRD30BL,9606.ENSP00000386398
ANKRD31,9606.ENSP00000274361
ANKRD33,9606.ENSP00000301190
ANKRD33B,9606.ENSP00000296657
ANKRD34A,9606.ENSP00000475189
ANKRD34B,9606.ENSP00000339802
ANKRD34C,9606.ENSP00000401089
ANKRD35,9606.ENSP00000347802
ANKRD36,9606.ENSP00000498611
ANKRD36B,9606.ENSP00000481149
ANKRD36C,9606.ENSP00000403302
ANKRD37,9606.ENSP00000335147
ANKRD39,9606.ENSP00000377170
ANKRD40,9606.ENSP00000285243
ANKRD40CL,9606.ENSP00000494384
ANKRD42,9606.ENSP00000435790
ANKRD44,9606.ENSP00000282272
ANKRD45,9606.ENSP00000331268
ANKRD46,9606.ENSP00000429015
ANKRD49,9606.ENSP00000440396
ANKRD50,9606.ENSP00000425658
ANKRD52,9606.ENSP00000267116
ANKRD53,9606.ENSP00000353796
ANKRD54,9606.ENSP00000215941
ANKRD55,9606.ENSP00000342295
ANKRD6,9606.ENSP00000345767
ANKRD60,9606.ENSP00000396747
ANKRD61,9606.ENSP00000386502
ANKRD62,9606.ENSP00000467740
ANKRD63,9606.ENSP00000399547
ANKRD65,9606.ENSP00000445688
ANKRD66,9606.ENSP00000454770
ANKRD7,9606.ENSP00000265224
ANKRD9,9606.ENSP00000286918
ANKS1A,9606.ENSP00000353518
ANKS1B,9606.ENSP00000449629
ANKS3,9606.ENSP00000304586
ANKS4B,9606.ENSP00000308772
ANKS6,9606.ENSP00000297837
ANKUB1,9606.ENSP00000417635
ANKZF1,9606.ENSP00000321617
ANLN,9606.ENSP00000265748
