Gene_name,PB_id
Acads,SMP0120808
Acads,SMP0120811
Acads,SMP0120812
Acads,SMP0120822
Acads,SMP0120823
Acads,SMP0120824
Acads,SMP0120825
Acads,SMP0120826
Acads,SMP0120828
Acads,SMP0120851
Acads,SMP0120854
Acads,SMP0120870
ACADSB,SMP0000051
ACADSB,SMP0000032
ACADSB,SMP0000173
ACADSB,SMP0000137
ACADSB,SMP0000236
ACADSB,SMP0000138
ACADSB,SMP0000199
ACADSB,SMP0000237
ACADSB,SMP0000139
ACADSB,SMP0000140
ACADSB,SMP0000384
ACADSB,SMP0000200
ACADSB,SMP0000238
ACADSB,SMP0000181
ACADSB,SMP0000185
ACADSB,SMP0000235
ACADSB,SMP0000141
ACADSB,SMP0000521
ACADSB,SMP0000522
ACADSB,SMP0000523
ACADSB,SMP0000524
ACADSB,SMP0000538
ACADSB,SMP0000539
ACADSB,SMP0000540
ACADSB,SMP0000541
ACADSB,SMP0000542
ACADSB,SMP0000545
ACADSB,SMP0000635
Acadsb,SMP0063589
Acadsb,SMP0063689
ACADSB,SMP0087172
ACADSB,SMP0087234
Acadsb,SMP0087280
Acadsb,SMP0087327
Acadsb,SMP0120439
Acadsb,SMP0120440
Acadsb,SMP0120441
Acadsb,SMP0120442
Acadsb,SMP0120443
Acadsb,SMP0120444
Acadsb,SMP0120459
Acadsb,SMP0120476
Acadsb,SMP0120503
Acadsb,SMP0120516
Acadsb,SMP0120520
Acadsb,SMP0120523
Acadsb,SMP0120525
Acadsb,SMP0120537
Acadsb,SMP0120586
Acadsb,SMP0120587
Acadsb,SMP0120588
Acadsb,SMP0120589
Acadsb,SMP0120603
Acadsb,SMP0120604
Acadsb,SMP0120605
Acadsb,SMP0120606
Acadsb,SMP0120607
Acadsb,SMP0120609
Acadsb,SMP0120660
Acadsb,SMP0120661
Acadsb,SMP0120662
Acadsb,SMP0120663
Acadsb,SMP0120664
Acadsb,SMP0120665
Acadsb,SMP0120679
Acadsb,SMP0120696
Acadsb,SMP0120723
Acadsb,SMP0120736
Acadsb,SMP0120740
Acadsb,SMP0120743
Acadsb,SMP0120745
Acadsb,SMP0120757
Acadsb,SMP0120805
Acadsb,SMP0120806
Acadsb,SMP0120807
Acadsb,SMP0120808
Acadsb,SMP0120822
Acadsb,SMP0120823
Acadsb,SMP0120824
Acadsb,SMP0120825
Acadsb,SMP0120826
Acadsb,SMP0120828
ACADVL,SMP0000051
ACADVL,SMP0000181
ACADVL,SMP0000185
ACADVL,SMP0000235
ACADVL,SMP0000538
ACADVL,SMP0000539
ACADVL,SMP0000540
ACADVL,SMP0000541
ACADVL,SMP0000542
ACADVL,SMP0000545
Acadvl,SMP0063589
ACADVL,SMP0087172
Acadvl,SMP0087280
Acadvl,SMP0120476
Acadvl,SMP0120520
Acadvl,SMP0120603
Acadvl,SMP0120604
Acadvl,SMP0120605
Acadvl,SMP0120606
Acadvl,SMP0120607
Acadvl,SMP0120609
Acadvl,SMP0120696
Acadvl,SMP0120740
Acadvl,SMP0120822
Acadvl,SMP0120823
Acadvl,SMP0120824
Acadvl,SMP0120825
Acadvl,SMP0120826
Acadvl,SMP0120828
ACAT1,SMP0000073
